supplier,product_name,origin_country,process,producer,selected_option_for_6kg,sku,unit_size_kg,base_unit_price_gbp,base_price_per_kg_gbp,discount_for_6kg_pct,price_per_kg_at_6kg_gbp,total_price_for_6kg_gbp,stock_cap_units,available_for_6kg,pricing_note,product_url,image_url,selling_uplift_per_kg_gbp,selling_price_per_kg_roasted_gbp,total_selling_price_for_6kg_roasted_gbp,gross_profit_for_6kg_gbp,gross_margin_pct,margin_note
Falcon Micro,"Taferi Kela - Lot 6 , Bette Buna, Ethiopia",Ethiopia,Anaerobic Washed,Taferi Kela - Lot 6,1000 g pack,FSC-7614,1.00,24.00,24.00,5,22.80,136.80,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/taferi-kela-lot-6-bette-buna-ethiopia-anaerobic-washed-muk-7614,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/taferi_kela_6_micro-1copy2.png?v=1756209247,4.00,26.80,160.80,24.00,14.93,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Yacuri, Juan Peña, Ecuador",Ecuador,Washed,Juan Peña,1000 g pack,FSC-8523,1.00,28.20,28.20,5,26.79,160.74,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/yacuri-juan-pena-ecuador-washed-fsc-8523,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/yacuri-28.jpg?v=1770725181,4.00,30.79,184.74,24.00,12.99,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"El Diviso, Nestor Lasso, Colombia",Colombia,Natural,Nestor Lasso,1000 g pack,FSC-8036,1.00,44.40,44.40,5,42.18,253.08,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/el-diviso-nestor-lasso-colombia-natural-fsc-8036,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/el_diviso_micro-1_copy_2.jpg?v=1772618494,4.00,46.18,277.08,24.00,8.66,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Chito Community, Juan Peña, Ecuador",Ecuador,Washed,Juan Peña,1000 g pack,FSC-8526,1.00,19.00,19.00,5,18.05,108.30,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/chito-community-juan-pena-ecuador-washed-fsc-8526,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/ChitoCommunity-28.jpg?v=1771599729,4.00,22.05,132.30,24.00,18.14,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Coproca Lot 1214, Nyamasheke District, Rwanda",Rwanda,Natural,Coproca 1214,1000 g pack,FSC-8444,1.00,17.40,17.40,5,16.53,99.18,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/coproca-lot1214-nyamasheke-district-rwanda-natural-fsc-8444,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/coproca-28.jpg?v=1776267768,4.00,20.53,123.18,24.00,19.48,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Butawa, The Coffee Gardens, Uganda",Uganda,Washed,TCG - Butawa,1000 g pack,FSC-8685,1.00,19.00,19.00,5,18.05,108.30,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/butawa-the-coffee-gardens-uganda-washed-fsc-8685,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/butawa-28.jpg?v=1776267822,4.00,22.05,132.30,24.00,18.14,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Malidadi, The Coffee Yard, Uganda",Uganda,Washed,TCY - Malidadi,1000 g pack,FSC-8618,1.00,17.00,17.00,5,16.15,96.90,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/malidadi-the-coffee-yard-uganda-washed-fsc-8618,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/malidadi-28.jpg?v=1776267361,4.00,20.15,120.90,24.00,19.85,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Hacienda La Papaya, Juan Peña, Ecuador",Ecuador,Fully Washed,Juan Peña,1000 g pack,FSC-8509,1.00,34.20,34.20,5,32.49,194.94,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/hacienda-la-papaya-juan-pena-ecuador-fully-washed-fsc-8509,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/HaciendaLaPapaya_micro-1copy2.jpg?v=1771599779,4.00,36.49,218.94,24.00,10.96,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Attia - Chapata, Cooperativa de Caficultores de Anserma, Colombia",Colombia,Natural,Cooperativa de Caficultores de Anserma,1000 g pack,FSC-8575,1.00,28.00,28.00,5,26.60,159.60,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/attia-chapata-cooperativa-de-caficultores-de-anserma-colombia-natural-fsc-8575,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/attia_-28.jpg?v=1773159421,4.00,30.60,183.60,24.00,13.07,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Ijen Highlands, Botolinggo Village, Indonesia",Colombia,Natural,Kevenka Coffee,1000 g pack,FSC-8457,1.00,27.00,27.00,5,25.65,153.90,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/ijen-highlands-botolinggo-village-indonesia-natural-fsc-8458,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/ijen_high-28.jpg?v=1776092025,4.00,29.65,177.90,24.00,13.49,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Diego Samuel Bermudez, El Paraíso P02, Colombia",Colombia,Double Fermentation,Diego Samuel Bermudez,1000 g pack,FSC-8230,1.00,34.60,34.60,5,32.87,197.22,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/diego-samuel-bermudez-el-paraiso-p02-colombia-double-fermentation-fsc-8230,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/double_ferment.jpg?v=1765878885,4.00,36.87,221.22,24.00,10.85,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"El Borbollon, Santa Ana, El Salvador",El Salvador,Natural,El Borbollon Mill,1000 g pack,FSC-8057,1.00,15.50,15.50,5,14.73,88.35,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/el-borbollon-santa-ana-el-salvador-natural-fsc-8057,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/el_borbollon_micro-1copy3.jpg?v=1764675111,4.00,18.73,112.38,24.03,21.38,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Atunkaa Caficauca, Sugar Cane Decaf, Colombia",Colombia,Sugar Cane Decaf,Cooperativa de Caficultores del Cauca,1000 g pack,FSC-8238,1.00,18.00,18.00,5,17.10,102.60,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/atunkaa-caficauca-sugar-cane-decaf-colombia-sugar-cane-decaf-muk-8239,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/atunkaa_c-29.jpg?v=1762871101,4.00,21.10,126.60,24.00,18.96,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Finca Etiopia, Los Naranjos Cafe, El Salvador",Ethiopia,Honey,Los Naranjos Cafe,1000 g pack,FSC-7963,1.00,56.00,56.00,5,53.20,319.20,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/finca-etiopia-los-naranjos-cafe-el-salvador-honey-muk-7963,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/los_naranjos_micro-1copy2.jpg?v=1762272185,4.00,57.20,343.20,24.00,6.99,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Hamacas, Vides Family, Guatemala",Guatemala,Washed,Vides Family,1000 g pack,FSC-8068,1.00,17.00,17.00,5,16.15,96.90,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/hamacas-vides-family-guatemala-washed-muk-8068,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/hamacas-28_9668088f-58a9-401a-b2ba-2a59d6f139fb.jpg?v=1759412286,4.00,20.15,120.90,24.00,19.85,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Las Lajas , Chacon Family, Costa Rica",Costa Rica,Anaerobic Honey,Chacon Family,1000 g pack,FSC-7924,1.00,25.00,25.00,5,23.75,142.50,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/las-lajas-copy-chacon-family-costa-rica-anaerobic-honey-muk-7924,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/las_lajas.jpg?v=1759418068,4.00,27.75,166.50,24.00,14.41,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Noruega, Ahuachapon, El Salvador",El Salvador,Natural,Sigfredo Corado,1000 g pack,FSC-7958,1.00,19.00,19.00,5,18.05,108.30,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/noruega-ahuachapon-el-salvador-natural-muk-7958,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/noruega_micro-1copy2.jpg?v=1759411862,4.00,22.05,132.30,24.00,18.14,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"The Coffee Gardens, Yeast Fermentation, Uganda",Uganda,Fruit Fermentation,The Coffee Gardens,1000 g pack,FSC-7755,1.00,21.20,21.20,5,20.14,120.84,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/the-coffee-gardens-yeast-ferment-uganda-yeast-ferment-muk-7755,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/garden_yeast-20.jpg?v=1751984739,4.00,24.14,144.84,24.00,16.57,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Castanhas Do Brazil, Cocatrel Cooperative, Brazil",Brazil,Natural,Cocatrel Cooperative,1000 g pack,FSC-8266,1.00,14.00,14.00,5,13.30,79.80,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/castanhas-do-brazil-cocatrel-cooperative-brazil-natural-fsc-8266,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/castanhas_micro-1_copy_3.jpg?v=1776867662,4.00,17.30,103.80,24.00,23.12,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Atunkaa Caficauca, Sugar Cane Decaf, Colombia",Colombia,Decaf,Siruma,1000 g pack,FSC-8764,1.00,19.50,19.50,5,18.53,111.15,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/atunkaa-caficauca-sugar-cane-decaf-colombia-decaf-fsc-8764,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/atinkaa_26-29.jpg?v=1777389727,4.00,22.53,135.18,24.03,17.78,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Lala Salama , Sparkling Water Decaf, Ethiopia",Ethiopia,Decaf,Dimtu Coffee Industry PLC,1000 g pack,FSC-8739,1.00,19.00,19.00,5,18.05,108.30,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/lala-salama-decaf-sparkling-water-decaf-ethiopia-decaf-fsc-8739,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/lala_salama_26-29.jpg?v=1777391016,4.00,22.05,132.30,24.00,18.14,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Gatomboya Washing Station, Nyeri AB, Kenya",Kenya,Washed,Gatomboya Washing Station,1000 g pack,FSC-8712,1.00,19.00,19.00,5,18.05,108.30,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/gatomboya-washing-station-nyeri-ab-kenya-washed-fsc-8712,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/gatomboya-28.jpg?v=1777391107,4.00,22.05,132.30,24.00,18.14,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Tegu Factory AB, Karatina Town, Kenya",Kenya,Washed,Tegu Factory,1000 g pack,FSC-8705,1.00,19.50,19.50,5,18.53,111.15,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/tegu-factory-ab-karatina-town-kenya-washed-fsc-8705,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/tegu_factory-28.jpg?v=1777390789,4.00,22.53,135.18,24.03,17.78,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"El Refugio, Agudelo Uribe family, Colombia",Colombia,Washed,Agudelo Uribe family,1000 g pack,FSC-8769,1.00,34.50,34.50,5,32.78,196.65,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/el-refugio-agudelo-uribe-family-colombia-washed-fsc-8769,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/el_refugio_micro-1copy2.jpg?v=1777390663,4.00,36.78,220.68,24.03,10.89,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Castanhas do Brazil, Cocatrel Cooperative, Brazil",Brazil,Natural,Cocatrel Cooperative,1000 g pack,FSC-8261,1.00,14.00,14.00,5,13.30,79.80,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/castanhas-do-brazil-cocatrel-cooperative-brazil-natural-fsc-8261,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/casthanas_2_micro-1copy3.jpg?v=1777390139,4.00,17.30,103.80,24.00,23.12,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"El Borbollon, Santa Ana, El Salvador",El Salvador,Washed,Alvarez family,1000 g pack,FSC-8620,1.00,15.50,15.50,5,14.73,88.35,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/el-borbollon-santa-ana-el-salvador-washed-fsc-8620,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/el_borbollon_micro-1copy3_2edb0d94-a133-446a-8bda-20668837f2f4.jpg?v=1778585818,4.00,18.73,112.38,24.03,21.38,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Small Batch Roasting,Brazil – NY 2/3 Scr 17/18 SS GC,Brazil,Honey,,Green Beans,,1.00,13.94,13.94,0,13.94,83.64,19,yes,Small Batch 6 kg total calculated from the Green Beans variation: catalogue unit price per kg x 6. Static crawl had no extra cart/kg discount.,https://www.smallbatchroasting.co.uk/origin/brazil/brazil-ny-2-3-scr-17-18-ss-gc/,https://www.smallbatchroasting.co.uk/wp-content/uploads/2024/11/campo_184-scaled.jpg,4.00,17.94,107.64,24.00,22.30,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Small Batch Roasting,Brazil Eagle Monte Carmelo (Cafe Delas),Brazil,,,Green Beans,EL002,1.00,16.80,16.80,0,16.80,100.80,74,yes,Small Batch 6 kg total calculated from the Green Beans variation: catalogue unit price per kg x 6. Static crawl had no extra cart/kg discount.,https://www.smallbatchroasting.co.uk/all-products/brazil-eagle-monte-carmelo-cafe-delas/,https://i0.wp.com/www.smallbatchroasting.co.uk/wp-content/uploads/2026/01/Brazil-Eagle-2.png?fit=511%2C491&ssl=1,4.00,20.80,124.80,24.00,19.23,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Small Batch Roasting,Brazil Ipanema – Fazenda Conquista,Brazil,,,Green Beans,,1.00,13.88,13.88,0,13.88,83.28,8,yes,Small Batch 6 kg total calculated from the Green Beans variation: catalogue unit price per kg x 6. Static crawl had no extra cart/kg discount.,https://www.smallbatchroasting.co.uk/all-products/brazil-ipanema-fazenda-conquista/,https://i0.wp.com/www.smallbatchroasting.co.uk/wp-content/uploads/2026/03/conquista-2.jpg?fit=669%2C446&ssl=1,4.00,17.88,107.28,24.00,22.37,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Small Batch Roasting,Brazil Sitio Boa Esperanca – Mundo Novo Natural,Brazil,Natural,,Green Beans,,1.00,18.60,18.60,0,18.60,111.60,94,yes,Small Batch 6 kg total calculated from the Green Beans variation: catalogue unit price per kg x 6. Static crawl had no extra cart/kg discount.,https://www.smallbatchroasting.co.uk/all-products/brazil-sitio-boa-esperanca-mundo-novo-natural/,https://i0.wp.com/www.smallbatchroasting.co.uk/wp-content/uploads/2024/08/f46ad1_af5c9f62c96c4c32bac4846f0af1a21cmv2.webp?fit=500%2C667&ssl=1,4.00,22.60,135.60,24.00,17.70,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Small Batch Roasting,Central American Decaf Blend,Central America blend,Decaf,,Green Beans,,1.00,17.60,17.60,0,17.60,105.60,28,yes,Small Batch 6 kg total calculated from the Green Beans variation: catalogue unit price per kg x 6. Static crawl had no extra cart/kg discount.,https://www.smallbatchroasting.co.uk/green/decaf/central-american-decaf-blend/,https://i0.wp.com/www.smallbatchroasting.co.uk/wp-content/uploads/2025/09/decaf.jpg?fit=797%2C800&ssl=1,4.00,21.60,129.60,24.00,18.52,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Small Batch Roasting,Colombia Excelso EP Huila,Colombia,Fully Washed,,Green Beans,,1.00,14.78,14.78,0,14.78,88.68,41,yes,Small Batch 6 kg total calculated from the Green Beans variation: catalogue unit price per kg x 6. Static crawl had no extra cart/kg discount.,https://www.smallbatchroasting.co.uk/origin/colombia/colombia-excelso-ep-huila/,https://i0.wp.com/www.smallbatchroasting.co.uk/wp-content/uploads/2024/08/f46ad1_50d8466bb4eb4886a48355deb682c55cmv2-1.webp?fit=500%2C333&ssl=1,4.00,18.78,112.68,24.00,21.30,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
